fit,se.fit,fit.low,fit.high,state_policy,origin_score
0.0867944950833878,0.38768383370804216,-0.6730658189843749,0.8466548091511504,5,-3
1.5820947183977905,0.4183188675887422,0.7621897379238558,2.401999698871725,5,8
0.11910284709203547,0.3988103266573802,-0.6625653931564297,0.9007710873405006,6,-3
1.7567564902544681,0.42520677294847997,0.9233512152754474,2.5901617652334887,6,8
0.05448614307473331,0.37980809906262386,-0.6899377310880095,0.7989100172374761,4,-3
1.4074329465411062,0.41555619081411493,0.5929428125454409,2.2219230805367713,4,8
0.022177791066086097,0.375387783809707,-0.7135822652009396,0.7579378473331118,3,-3
1.2327711746844292,0.4170007409956109,0.4154497223330318,2.0500926270358266,3,8
0.15141119910068992,0.4129248809451522,-0.6579215675518083,0.9607439657531881,7,-3
1.9314182621111524,0.43602445122439504,1.076810337711338,2.786026186510967,7,8
-0.07474726495987041,0.383587708540777,-0.8265791736997933,0.6770846437800525,0,-3
0.708785859114383,0.44557380301606064,-0.16453879479709588,1.582110513025862,0,8
-0.04243891295121593,0.37730446226961506,-0.7819556589996615,0.6970778330972296,1,-3
0.8834476309710673,0.4322200262551675,0.036296379510939,1.7305988824311955,1,8
-0.010130560942568256,0.3745452486396846,-0.74423924827635,0.7239781263912135,2,-3
1.058109402827745,0.4226093772996312,0.22979502332046775,1.886423782335022,2,8
-0.10705561696852489,0.39322609522203017,-0.877778763603704,0.6636675296666543,-1,-3
0.5341240872576986,0.46234648727563055,-0.3720750278025373,1.4403232023179344,-1,8
-0.13936396897717213,0.4059807294793272,-0.9350861987566534,0.6563582608023091,-2,-3
0.3594623154010216,0.48218143077245984,-0.5856132889129997,1.3045379197150428,-2,8
