same_sex,origin_score,fit.low,fit.high,fit
Different-sex,-3,2.3527678857806005,3.731158574686461,3.076306160026205
Different-sex,-1.5555555555555556,2.3869572442051554,3.7442339492918233,3.105287314273866
Different-sex,-0.11111111111111116,2.4159848152430756,3.7610230581129622,3.134268468521527
Different-sex,1.333333333333333,2.4479273292565558,3.8062203453056136,3.1632496227691878
Different-sex,2.7777777777777777,2.4738825972809293,3.84947604423202,3.1922307770168485
Different-sex,4.222222222222222,2.5292380339980203,3.868888816127315,3.2212119312645093
Different-sex,5.666666666666666,2.545242295976534,3.860976203783398,3.2501930855121706
Different-sex,7.111111111111111,2.5911341712074583,3.9112403498966364,3.279174239759831
Different-sex,8.555555555555555,2.6280300439299666,3.93014214242711,3.308155394007492
Different-sex,10,2.6583414996731305,3.954494557443038,3.337136548255153
Same-sex,-3,2.55584375835622,3.9166300392599993,3.260263540704266
Same-sex,-1.5555555555555556,2.5806056645959075,3.931932231895503,3.2752547803817746
Same-sex,-0.11111111111111116,2.6083442589442782,3.942085946767606,3.290246020059283
Same-sex,1.333333333333333,2.6186575620285564,3.9606267163249367,3.305237259736792
Same-sex,2.7777777777777777,2.6498316828558632,3.973789622898141,3.3202284994143008
Same-sex,4.222222222222222,2.662072850254828,3.996454135222013,3.335219739091809
Same-sex,5.666666666666666,2.6702656096757256,4.019611164957146,3.3502109787693177
Same-sex,7.111111111111111,2.685557447971192,4.037382981630105,3.365202218446826
Same-sex,8.555555555555555,2.698776408071529,4.0571592118080035,3.3801934581243347
Same-sex,10,2.7119953681718685,4.077119442482713,3.3951846978018434
